elementCount,run,className,dataType,archetype,supportsStagedMutability,footprintInBytes,footprintInObjects,footprintInReferences
16,2,clojure.lang.PersistentHashMap,MAP,PERSISTENT,true,512,6,46
16,2,scala.collection.immutable.HashSet,SET,PERSISTENT,false,760,20,35
16,2,scala.collection.immutable.HashMap,MAP,PERSISTENT,false,1528,36,99
16,3,org.eclipse.imp.pdb.facts.util.TrieSet_5Bits,SET,PERSISTENT,false,440,9,28
16,3,org.eclipse.imp.pdb.facts.util.TrieMap_5Bits,MAP,PERSISTENT,false,568,9,44
16,3,clojure.lang.PersistentHashSet,SET,PERSISTENT,true,824,13,66
16,3,clojure.lang.PersistentHashMap,MAP,PERSISTENT,true,784,12,64
16,3,scala.collection.immutable.HashSet,SET,PERSISTENT,false,760,20,35
16,3,scala.collection.immutable.HashMap,MAP,PERSISTENT,false,1528,36,99
32,0,org.eclipse.imp.pdb.facts.util.TrieSet_5Bits,SET,PERSISTENT,false,1000,21,62
32,0,org.eclipse.imp.pdb.facts.util.TrieMap_5Bits,MAP,PERSISTENT,false,1256,21,94
32,0,clojure.lang.PersistentHashSet,SET,PERSISTENT,true,2440,49,160
32,0,clojure.lang.PersistentHashMap,MAP,PERSISTENT,true,2400,48,158
32,0,scala.collection.immutable.HashSet,SET,PERSISTENT,false,1912,52,83
32,0,scala.collection.immutable.HashMap,MAP,PERSISTENT,false,3448,84,211
32,1,org.eclipse.imp.pdb.facts.util.TrieSet_5Bits,SET,PERSISTENT,false,928,19,59
32,1,org.eclipse.imp.pdb.facts.util.TrieMap_5Bits,MAP,PERSISTENT,false,1184,19,91
32,1,clojure.lang.PersistentHashSet,SET,PERSISTENT,true,2312,45,156
32,1,clojure.lang.PersistentHashMap,MAP,PERSISTENT,true,2272,44,154
32,1,scala.collection.immutable.HashSet,SET,PERSISTENT,false,1848,50,81
32,1,scala.collection.immutable.HashMap,MAP,PERSISTENT,false,3384,82,209
32,2,org.eclipse.imp.pdb.facts.util.TrieSet_5Bits,SET,PERSISTENT,false,712,13,50
32,2,org.eclipse.imp.pdb.facts.util.TrieMap_5Bits,MAP,PERSISTENT,false,968,13,82
32,2,clojure.lang.PersistentHashSet,SET,PERSISTENT,true,2336,48,147
32,2,clojure.lang.PersistentHashMap,MAP,PERSISTENT,true,2296,47,145
32,2,scala.collection.immutable.HashSet,SET,PERSISTENT,false,1848,50,81
32,2,scala.collection.immutable.HashMap,MAP,PERSISTENT,false,3384,82,209
32,3,org.eclipse.imp.pdb.facts.util.TrieSet_5Bits,SET,PERSISTENT,false,856,17,56
32,3,org.eclipse.imp.pdb.facts.util.TrieMap_5Bits,MAP,PERSISTENT,false,1112,17,88
32,3,clojure.lang.PersistentHashSet,SET,PERSISTENT,true,2328,47,150
32,3,clojure.lang.PersistentHashMap,MAP,PERSISTENT,true,2288,46,148
32,3,scala.collection.immutable.HashSet,SET,PERSISTENT,false,1848,50,81
32,3,scala.collection.immutable.HashMap,MAP,PERSISTENT,false,3384,82,209
64,0,org.eclipse.imp.pdb.facts.util.TrieSet_5Bits,SET,PERSISTENT,false,2264,49,136
64,0,org.eclipse.imp.pdb.facts.util.TrieMap_5Bits,MAP,PERSISTENT,false,2776,49,200
64,0,clojure.lang.PersistentHashSet,SET,PERSISTENT,true,3936,76,269
64,0,clojure.lang.PersistentHashMap,MAP,PERSISTENT,true,3896,75,267
64,0,scala.collection.immutable.HashSet,SET,PERSISTENT,false,3896,106,169
